NAME,CAS-RN,DATE
Dobutamine,34368-04-2,1989.0
Oxazepam,604-75-1,1973.0
Donepezil,120014-06-4,1996.902
Nalbuphine,20594-83-6,1979.37
Clofazimine,2030-63-9,1986.956
Flurandrenolide,1524-88-5,1963.214
Cysteamine,60-23-1,2005.277
Levamisole,14769-73-4,1991.0
Methylphenobarbital,115-38-8,1935.041
Perphenazine,58-39-9,1958.0
Dacarbazine,4342-03-4,1977.0
Pseudoephedrine,90-82-4,1959.0
Temozolomide,85622-93-1,1999.611
Levorphanol,77-07-6,1953.022
Aminolevulinic acid,106-60-5,2000.678
Chlorphenesin,104-29-0,1949.0
Terbinafine,91161-71-6,1994.0
Penicillamine,52-67-5,1965.0
Prednisolone,50-24-8,1968.0
Diflunisal,22494-42-4,1984.0
Vardenafil,224785-90-4,2003.31
Ranitidine,66357-35-5,1983.0
Tacrolimus,104987-11-3,1994.268
Benzphetamine,156-08-1,1960.82
Ritodrine,26652-09-5,1985.0
Benzonatate,104-31-4,1958.112
Dorzolamide,120279-96-1,1994.94
Suprofen,40828-46-4,2007.477
Terbutaline,23031-25-6,1976.0
Conivaptan,210101-16-9,2005.995
Loteprednol etabonate,82034-46-6,1998.186
Guaifenesin,93-14-1,1958.584
Flupentixol,2709-56-0,1982.0
Eprosartan,133040-01-4,2000.689
Sirolimus,53123-88-9,1999.668
Chlorhexidine,55-56-1,1973.0
Emtricitabine,143491-57-0,2003.501
Chlorothiazide,58-94-6,1958.756
Quinapril,85441-61-8,1991.885
Clomifene,911-45-5,1967.088
Isosorbide dinitrate,87-33-2,1961.0
Risedronic acid,105462-24-6,1998.236
Pemirolast,69372-19-6,2000.333
Bumetanide,28395-03-1,1983.162
Mechlorethamine,51-75-2,1949.203
Granisetron,109889-09-0,1993.995
Dienestrol,13029-44-2,1952.0
Sulfapyridine,144-83-2,1993.0
Oxybuprocaine,99-43-4,1970.0
Iron Dextran,9004-66-4,1974.326
Testolactone,968-93-4,2009.416
Benzylpenicilloyl polylysine,31855-75-1,1974.564
Rimexolone,49697-38-3,1995.707
Triazolam,28911-01-5,1979.0
Ethanol,64-17-5,1942.142
Remifentanil,132875-61-7,1996.53
Didanosine,69655-05-6,1991.773
Etacrynic acid,58-54-8,1967.027
Ondansetron,99614-02-5,1991.096
Bimatoprost,155206-00-1,2001.222
Tiagabine,115103-54-3,1997.841
Cocaine,50-36-2,1993.0
Quinidine,56-54-2,1939.0
Zonisamide,68291-97-4,2000.238
Paricalcitol,131918-61-1,1998.293
Tinidazole,19387-91-8,2004.377
Repaglinide,135062-02-1,1999.471
Anileridine,144-14-9,1967.0
Amantadine,768-94-5,1974.0
Metronidazole,443-48-1,1961.0
Dinoprostone,363-24-6,1978.0
Almotriptan,154323-57-6,2001.348
Spectinomycin,1695-77-8,1971.499
Ketotifen,34580-13-7,1991.0
Buprenorphine,52485-79-7,1985.496
Cyclobenzaprine,303-53-7,1977.652
Phenoxybenzamine,59-96-1,1953.071
Famotidine,76824-35-6,1986.789
Azacitidine,320-67-2,2004.511
Misoprostol,59122-46-2,1986.989
Colesevelam,182815-43-6,2000.669
Tipranavir,174484-41-4,2005.499
Mesoridazine,5588-33-0,1971.0
Maprotiline,10262-69-8,1977.0
Oxymetazoline,1491-59-4,1965.0
Salicylic acid,69-72-7,1921.0
Diethylpropion,90-84-6,1959.597
Salmeterol,89365-50-4,1995.0
Meclofenamic acid,644-62-2,1986.674
Zalcitabine,7481-89-2,1992.467
Acetylsalicylic acid,50-78-2,1911.0
Fulvestrant,129453-61-8,2004.454
Felbamate,25451-15-4,1993.575
Fexofenadine,83799-24-0,1997.523
Isoniazid,54-85-3,1968.0
Naratriptan,121679-13-8,1998.156
Rizatriptan,144034-80-0,1998.493
Netilmicin,56391-56-1,1982.0
Hydrocodone,125-29-1,1943.225
Norgestimate,35189-28-7,1989.995
Carboplatin,41575-94-4,1987.0
Methylprednisolone,83-43-2,1957.814
Pindolol,13523-86-9,1979.0
Mepivacaine,96-88-8,1960.0
Zaleplon,151319-34-5,1999.616
Bromfenac,91714-94-2,2005.014
Apraclonidine,66711-21-5,1988.372
Ethiodized oil,8008-53-5,1978.0
Telmisartan,144701-48-4,1999.668
Desloratadine,100643-71-8,2001.973
Methyldopa,555-30-6,1962.97
Alosetron,122852-42-0,2000.109
Dactinomycin,50-76-0,1964.0
Selenium Sulfide,7488-56-4,1952.585
Azelastine,58581-89-8,1996.836
Ezetimibe,163222-33-1,2002.816
Edetic acid,60-00-4,1991.0
Dipyridamole,58-32-2,1963.0
Telithromycin,191114-48-4,2003.408
Ethinylestradiol,57-63-6,1952.0
Lomefloxacin,98079-51-7,2006.359
Cyclopentolate,512-15-2,1958.496
Ramelteon,196597-26-9,2005.556
Physostigmine,57-47-6,1976.0
Isotretinoin,4759-48-2,1982.348
Formoterol,73573-87-2,1997.518
Dimenhydrinate,523-87-5,1952.0
Glycopyrronium,740028-90-4,1961.238
Cytarabine,147-94-4,1978.0
Dopamine,51-61-6,1981.0
Rivastigmine,123441-03-2,2000.331
Exemestane,107868-30-4,1999.805
Oxaprozin,21256-18-8,1992.828
Methyl aminolevulinate,33320-16-0,2004.571
Azathioprine,446-86-6,1967.0
Neomycin,1404-04-2,1952.0
Auranofin,34031-32-8,1985.312
Gabapentin,60142-96-3,1993.997
Doxorubicin,23214-92-8,1977.0
Frovatriptan,158747-02-5,2001.855
Hydrochlorothiazide,58-93-5,1959.118
Albuterol,18559-94-9,1973.0
Cromoglicic acid,16110-51-3,1979.0
Ganciclovir,82410-32-0,1989.477
Hydroxyurea,127-07-1,1980.0
Letrozole,112809-51-5,1997.581
Tioconazole,65899-73-2,1988.0
Busulfan,55-98-1,1955.0
Ketoprofen,22071-15-4,1980.0
Edrophonium,312-48-1,1989.0
Metyrapone,54-36-4,1962.068
Cinacalcet,226256-56-0,2004.26
Clobetasol propionate,25122-46-7,1977.0
Balsalazide,80573-04-2,2000.546
Sulfamethoxazole,723-46-6,1973.578
Glyburide,10238-21-8,1972.0
Minocycline,10118-90-8,1972.0
Guanfacine,29110-47-2,1986.822
Bethanechol,674-38-4,1977.0
Isosorbide mononitrate,16051-77-7,1993.496
Phylloquinone,84-80-0,1955.748
Felodipine,72509-76-3,1991.564
Mycophenolic acid,24280-93-1,2004.158
Ketoconazole,65277-42-1,1981.447
Methoxyflurane,76-38-0,2018.447
Irbesartan,138402-11-6,1997.748
Topotecan,123948-87-8,1996.434
Probenecid,57-66-9,1953.0
Mercaptopurine,50-44-2,1955.0
Procainamide,51-06-9,1956.0
Tolterodine,124937-51-5,1998.23
Selegiline,14611-51-9,1989.427
Fenofibrate,49562-28-9,1991.0
Thalidomide,50-35-1,2003.468
Melphalan,148-82-3,1965.0
Memantine,19982-08-2,2003.792
Gatifloxacin,112811-59-3,2001.142
Rifampin,13292-46-1,1971.386
Lubiprostone,136790-76-6,2006.085
Fluocinonide,356-12-7,1973.0
Abacavir,136470-78-5,1998.995
Ergoloid mesylate,8067-24-1,1969.0
Ibuprofen,15687-27-1,1973.0
Benzylpenicillin,61-33-6,1952.0
Tocainide,41708-72-9,1986.0
Echothiophate,6736-03-4,1959.926
Praziquantel,55268-74-1,1997.312
Norfloxacin,70458-96-7,1986.833
Amoxicillin,26787-78-0,1975.0
Oxybutynin,5633-20-5,1975.54
Isoprenaline,7683-59-2,1955.0
Melatonin,73-31-4,2013.14
Cefditoren,104145-95-1,2008.555
Glipizide,29094-61-9,1984.352
Clonazepam,1622-61-3,1975.419
Promethazine,60-87-7,1950.0
Dihydrotachysterol,67-96-9,1953.0
Atazanavir,198904-31-3,2003.479
Fludarabine,21679-14-1,1991.296
Diphenhydramine,58-73-1,1947.178
Atorvastatin,134523-00-5,1996.962
Etidronic acid,2809-21-4,1977.025
Tegaserod,145158-71-0,2002.562
Vigabatrin,68506-86-5,1995.0
Diphenoxylate,915-30-0,1960.708
Streptomycin,57-92-1,1952.167
Orlistat,96829-58-2,1999.422
Emedastine,87233-61-2,1998.126
Pilocarpine,92-13-7,1952.0
Benzocaine,94-09-7,1900.003
Primaquine,90-34-6,1946.0
Iloprost,78919-13-8,2005.348
Deserpidine,131-01-1,1961.584
Butenafine,101828-21-1,1993.729
Dimethyl sulfoxide,67-68-5,1978.0
Fluvastatin,93957-54-1,1994.441
Leflunomide,75706-12-6,1998.693
Rosuvastatin,287714-41-4,2003.137
Flucytosine,2022-85-7,1971.904
Pimozide,2062-78-4,1976.0
Capecitabine,154361-50-9,1998.329
Sertraline,79617-96-2,1992.115
Sibutramine,106650-56-0,2001.162
Levocabastine,79516-68-0,1994.0
Heparin,9005-49-6,1943.321
Miconazole,22916-47-8,1975.0
Colistimethate,12705-41-8,1970.425
Cefuroxime,55268-75-2,1981.0
Papaverine,58-74-2,1952.0
Chlorpheniramine,132-22-9,1952.0
Nifedipine,21829-25-4,1982.0
Atovaquone,95233-18-4,1994.0
Amiodarone,1951-25-3,1985.918
Diazoxide,364-98-7,1973.06
Gliclazide,21187-98-4,1991.0
Ambenonium,7648-98-8,1971.688
Proflavine,92-62-6,1984.0
Tolbutamide,64-77-7,1958.0
Dutasteride,164656-23-9,2002.942
Econazole,27220-47-9,1980.0
Bicalutamide,90357-06-5,1995.759
Rabeprazole,117976-89-3,1999.633
Prednicarbate,73771-04-7,1991.729
Proguanil,500-92-5,1975.0
Pioglitazone,111025-46-8,1999.537
Tiludronic acid,89987-06-4,1997.181
Doxacurium,106791-39-3,1993.0
Carvedilol,72956-09-3,1996.795
Levofloxacin,100986-85-4,1996.97
Sulfinpyrazone,57-96-5,1959.364
Cefadroxil,50370-12-2,1978.132
Micafungin,235114-32-6,2005.205
Doxepin,1668-19-5,1969.729
Amifostine,20537-88-6,1995.937
Diclofenamide,120-97-8,2012.208
Diphenylpyraline,147-20-6,1952.0
Cloxacillin,61-72-3,1964.0
Flavoxate,15301-69-6,1970.041
Nefazodone,83366-66-9,1994.975
Cefprozil,92665-29-7,1996.0
Desipramine,50-47-5,1964.888
Sertaconazole,99592-32-2,2003.942
Gemifloxacin,175463-14-6,2003.258
Bupropion,34911-55-2,1986.096
Trimetrexate,52128-35-5,1995.0
Bretylium,59-41-6,1981.0
Halothane,151-67-7,1959.0
Dinoprost tromethamine,38562-01-5,1975.0
Chloroprocaine,133-16-4,1985.0
Terazosin,63590-64-7,1987.6
Calcium chloride,10043-52-4,1952.0
Ofloxacin,82419-36-1,1990.992
Cilostazol,73963-72-1,1999.041
Itraconazole,84625-61-6,1992.697
Procarbazine,671-16-9,1971.0
Arsenic trioxide,1327-53-3,2000.79
Guanethidine,55-65-2,1960.511
Moclobemide,71320-77-9,1993.0
Kanamycin,59-01-8,2003.077
Orphenadrine,83-98-7,1958.0
Phenobarbital,50-06-6,1952.0
Escitalopram,128196-01-0,2002.619
Cyclizine,82-92-8,1989.0
Idarubicin,58957-92-9,1990.74
Podofilox,518-28-5,1990.951
Ifosfamide,3778-73-2,1988.997
Propafenone,54063-53-5,1989.0
Naloxone,465-65-6,1971.282
Domperidone,57808-66-9,1991.0
Fluoxymesterone,76-43-7,1963.0
Pergolide,66104-22-1,1991.003
Ciclopirox,29342-05-0,1982.997
Desflurane,57041-67-5,1992.716
Clindamycin,18323-44-9,1970.389
Oxymorphone,76-41-5,1959.367
Acebutolol,37517-30-9,1984.992
Brinzolamide,138890-62-7,1998.329
Flecainide,54143-55-4,1967.0
Estramustine,2998-57-4,1992.003
Captopril,62571-86-2,1981.263
Zopiclone,43200-80-2,1991.0
Tubocurarine,57-95-4,1952.0
Bromocriptine,25614-03-3,1977.0
Rifapentine,61379-65-5,2009.244
Levetiracetam,102767-28-2,2000.314
Nadolol,42200-33-9,1979.942
Mitoxantrone,65271-80-9,1985.0
Flumazenil,78755-81-4,1991.97
Lomustine,13010-47-4,1977.0
Levobunolol,47141-42-4,1986.0
Clarithromycin,81103-11-9,1991.833
Ceftriaxone,73384-59-5,1988.0
Fomepizole,7554-65-6,2001.244
Metipranolol,22664-55-7,1989.995
Estazolam,29975-16-4,1990.986
Finasteride,98319-26-7,1992.467
Anastrozole,120511-73-1,1996.044
Halofantrine,69756-53-2,1996.541
Dantrolene,7261-97-4,1980.0
Rifaximin,80621-81-4,2004.566
Ketamine,6740-88-1,1970.137
Budesonide,51333-22-3,1991.0
Aminophylline,317-34-0,1952.0
Quetiapine,111974-69-7,1997.751
Enoxaparin,9005-49-6,1993.241
Mivacurium,133814-19-4,1995.0
Encainide,66778-36-7,2008.003
Paclitaxel,33069-62-4,1994.0
Pemoline,2152-34-3,1975.074
Diphenidol,972-02-1,2006.43
Saquinavir,127779-20-8,1995.932
Metoclopramide,364-62-5,1985.0
Dexamethasone,50-02-2,1958.83
Levodopa,59-92-7,1975.334
Sevoflurane,28523-86-6,1995.433
Bromodiphenhydramine,118-23-0,1980.0
Aripiprazole,129722-12-9,2002.874
Epoprostenol,35121-78-9,1995.937
Gemfibrozil,25812-30-0,1985.0
Clomipramine,303-49-1,1974.0
Chloroxine,773-76-2,2009.416
Alimemazine,84-96-8,1960.0
Isocarboxazid,59-63-2,1959.499
Docetaxel,114977-28-5,1996.0
Iodixanol,92339-11-2,1996.0
Olsalazine,15722-48-2,1990.581
Ergometrine,60-79-7,1940.0
Dasatinib,302962-49-8,2006.488
Lisdexamfetamine,608137-32-2,2007.148
Retapamulin,224452-66-8,2007.334
Eculizumab,219685-50-4,2007.252
Lapatinib,231277-92-2,2007.205
Desonide,638-94-8,1979.0
Sitagliptin,486460-32-6,2006.792
Decitabine,2353-33-5,1996.339
Posaconazole,171228-49-2,2006.707
Darunavir,206361-99-1,2006.605
Telbivudine,3424-98-4,2006.816
Sinecatechins,188265-33-0,2007.953
Paliperidone,144598-75-4,2006.967
Sunitinib,557795-19-4,2006.071
Panitumumab,339177-26-3,2006.775
Ranibizumab,347396-82-1,2006.496
Idursulfase,50936-59-9,2006.562
Alglucosidase alfa,420784-05-0,2006.932
Varenicline,249296-44-4,2006.356
Arformoterol,67346-49-0,2007.249
Hydralazine,86-54-4,1953.0
Exenatide,141758-74-9,2005.323
Mecasermin,68562-41-4,2006.008
Pramlintide,151126-32-8,2005.205
Galsulfase,552858-79-4,2005.438
Nelarabine,121032-29-9,2006.052
Abatacept,332348-12-6,2006.603
Carbetocin,37025-55-1,1999.584
Tetracosactide,16960-16-0,1974.0
Corticotropin,12427-33-7,1988.0
Fenoterol,13392-18-2,1978.0
Pirbuterol,38677-81-5,1992.915
Bismuth subsalicylate,14882-18-9,1955.0
Glucosamine,3416-24-8,2010.299
Sulfadoxine,2447-57-6,1981.825
Rolitetracycline,751-97-3,1960.0
Oxtriphylline,4499-40-5,1952.0
Insulin aspart,116094-23-6,2001.655
Insulin detemir,169148-63-4,2005.871
Insulin glulisine,207748-29-6,2008.727
Fosamprenavir,226700-79-4,2003.849
Fosphenytoin,93390-81-9,1996.596
St. John's Wort,84082-80-4,1992.0
Polythiazide,346-18-9,2005.953
Cefazolin,25953-19-9,1975.0
Cefoperazone,62893-19-0,1982.882
Cefotetan,69712-56-7,1985.989
Cefoxitin,35607-66-0,1978.797
Ceftizoxime,68401-81-0,1989.0
Cefradine,38821-53-3,1995.003
Pancuronium,16974-53-1,1974.0
Pipecuronium,68399-58-6,1990.567
Vecuronium,86029-43-8,1984.331
Cilazapril,88768-40-5,1994.0
Tolevamer,28210-41-5,1958.022
Potassium cation,24203-36-9,2017.499
Amobarbital,57-43-2,1940.0
Mestranol,72-33-3,1966.0
Penbutolol,38363-40-5,1995.455
Iohexol,66108-95-0,1985.986
Ephedra sinica root,,1995.0
Ephedrine,299-42-3,1952.0
Mephentermine,100-92-5,1995.0
Procaterol,72332-33-3,1990.0
Rasagiline,136236-51-6,2006.523
Quinupristin,120138-50-3,1999.723
Calcium,7440-70-2,1966.0
Magnesium oxide,1309-48-4,1964.0
Cortisone acetate,50-04-4,1952.0
Ginkgo biloba,90045-36-6,2010.178
Sodium bicarbonate,144-55-8,1911.0
Yohimbine,146-48-5,1952.0
Bezafibrate,41859-67-0,1994.973
Colchicine,64-86-8,1951.0
Drospirenone,67392-87-4,2001.359
Digitoxin,71-63-6,1952.0
Magnesium salicylate,18917-89-0,1980.0
Salsalate,552-94-3,1994.0
Neostigmine,59-99-4,1973.003
Methotrimeprazine,60-99-1,1959.0
Ginseng,50647-08-0,1996.0
Danazol,17230-88-5,1973.0
Tiotropium,186691-13-4,2002.89
Ciclesonide,126544-47-6,2006.74
Cefepime,88040-23-7,1996.0
Ceftibuten,97519-39-6,1995.918
Cefpodoxime,80210-62-4,1991.66
Acenocoumarol,152-72-7,1958.0
Testosterone propionate,57-85-2,1973.0
Paromomycin,7542-37-2,1981.008
Amrinone,60719-84-8,1985.0
Oxybenzone,131-57-7,1961.0
Cholestyramine,11041-12-6,1980.0
Antipyrine,60-80-0,1931.0
Alfacalcidol,41294-56-8,1981.0
Phenazopyridine,94-78-0,1961.0
gamma-Hydroxybutyric acid,591-81-1,2020.839
Diamorphine,561-27-3,1989.0
Dichloralphenazone,480-30-8,2007.926
Difenoxin,28782-42-5,1962.534
Dihydrocodeine,125-28-0,2003.499
Bromazepam,1812-30-2,1982.0
Chloral hydrate,302-17-0,1965.0
Attapulgite,12174-11-7,1982.0
Kaolin,1332-58-7,1964.0
Dextroamphetamine,51-64-9,1975.408
Metamfetamine,537-46-2,1944.0
Phendimetrazine,634-03-7,1976.975
Oxprenolol,6452-71-7,1981.0
Sulfamerazine,127-79-7,1960.0
Sulfamethazine,57-68-1,1960.0
Ursodeoxycholic acid,128-13-2,1988.0
Ketazolam,27223-35-4,1993.0
Quazepam,36735-22-5,1985.989
Everolimus,159351-69-6,2009.247
Solifenacin,242478-37-1,2005.014
Iron,7439-89-6,1880.003
Zinc,7440-66-6,1966.0
Nitrazepam,146-22-5,1981.0
Cilastatin,82009-34-5,1985.904
Imipenem,64221-86-9,1985.904
Probucol,23288-49-5,1996.0
Tiaprofenic acid,33005-95-7,1987.0
Lopinavir,192725-17-0,2000.708
Bacampicillin,50972-17-3,1985.0
Pivampicillin,33817-20-8,1985.0
Pivmecillinam,32886-97-8,1986.0
Tazobactam,89786-04-9,1993.836
Ticarcillin,34787-01-4,1990.808
Periciazine,2622-26-6,1970.0
Deferasirox,201530-41-8,2005.915
Valganciclovir,175865-60-8,2001.241
Hydroxychloroquine,118-42-3,1955.296
Amyl Nitrite,8017-89-8,1952.0
Molindone,7416-34-4,1974.504
Pheniramine,86-21-5,1956.918
Pipotiazine,39860-99-6,1981.0
Thioproperazine,316-81-4,1963.0
Thiothixene,3313-26-6,1967.562
Zuclopenthixol,53772-83-1,1996.0
Isopropamide,7492-32-2,1994.0
Lincomycin,154-21-2,1964.995
Sorbitol,50-70-4,1976.0
Genistein,446-72-0,2007.46
Roflumilast,162401-32-3,2010.997
Rutin,153-18-4,1968.0
Prasterone,53-43-0,2014.258
Cetrimonium,6899-10-1,1961.0
[3-(Dodecanoylamino)Propyl](Hydroxy)Dimethylammonium,,2023.551
Camphor,464-49-3,1931.0
Kojic acid,501-30-4,2022.844
Dalfopristin,112362-50-2,1999.723
Pantothenic acid,79-83-4,1965.0
Propylene glycol,57-55-6,1979.0
Benzophenone,119-61-9,2006.63
D-glucose,50-99-7,1942.142
Formic acid,64-18-6,2011.088
Taurine,107-35-7,1984.552
Cocarboxylase,136-08-3,2011.614
Dihydrofolic Acid,4033-27-6,2019.959
Laevulinic Acid,123-76-2,2020.342
Calcipotriol,112965-21-6,1993.0
Isopropyl alcohol,67-63-0,1952.0
Selenocysteine,10236-58-5,2004.087
Aminobenzoic acid,150-13-0,1986.0
Benzylamine,100-46-9,2020.44
Farnesol,4602-84-0,2022.866
Thymol,89-83-8,1956.0
gamma-Aminobutyric acid,56-12-2,2010.395
Vorinostat,149647-78-9,2006.764
Terlipressin,14636-12-5,2022.704
Cholic Acid,81-25-4,2015.247
Nicotinamide,98-92-0,1952.0
Fusidic acid,6990-06-3,1981.0
Resveratrol,501-36-0,2015.332
Sucrose,57-50-1,2008.003
"1,3-Propanediol",504-63-2,2022.036
Pregnenolone,145-13-1,2012.087
D-Methionine,348-67-4,1996.773
Oxitriptan,4350-09-8,2018.485
Lauric acid,143-07-7,2012.311
Glycolic acid,79-14-1,2010.003
Pidolic acid,98-79-3,1981.0
Acetylcholine,51-84-3,1991.0
Flavin adenine dinucleotide,146-14-5,2011.614
beta-D-glucuronic acid,23018-83-9,2020.246
Acetic acid,64-19-7,1979.0
Propyl alcohol,71-23-8,2004.055
Stearic acid,57-11-4,1961.0
Pyrroloquinoline Quinone,72909-34-3,2020.978
Oteracil,937-13-3,2016.689
Nicotinamide Mononucleotide,,2020.978
Flavin mononucleotide,146-17-8,1952.0
Phenol,108-95-2,1964.0
Glutathione disulfide,27025-41-8,1983.0
Hemin,16009-13-5,1983.551
Butyric Acid,107-92-6,1998.249
Oxyphenbutazone,129-20-4,1982.0
Mecobalamin,13422-55-4,2004.055
Deoxycholic acid,83-44-3,1952.0
Picric acid,88-89-1,1992.538
Tromethamine,77-86-1,1973.0
Doconexent,6217-54-5,2004.549
Propanoic acid,79-09-4,1953.0
Benzoic acid,65-85-0,1952.0
Palmitic Acid,57-10-3,1988.0
Hexamidine,3811-75-4,2002.888
Formaldehyde,50-00-0,1981.0
Eucalyptol,470-82-6,1952.0
Urea,57-13-6,1953.0
Ergosterol,57-87-4,1982.0
Berberine,2086-83-1,2024.454
Pyrophosphoric acid,2466-09-3,1976.803
Fructose,,1994.142
Dequalinium,6707-58-0,1959.0
Didecyldimethylammonium,20256-56-8,1983.0
Oleic Acid,112-80-1,1988.0
Citric acid,77-92-9,1960.0
Inosine,58-63-9,1997.156
Taurocholic acid,81-24-3,1952.0
Lactic acid,50-21-5,1952.0
Lactose,63-42-3,1989.0
Gluconolactone,90-80-2,1991.003
Trioxsalen,3902-71-4,1994.0
Thiotepa,52-24-4,1960.0
Estriol,50-27-1,2021.455
Estrone sulfate,481-97-0,1977.378
Hesperidin,520-26-3,1964.0
Iodipamide,606-17-7,1955.521
5-methyltetrahydrofolic acid,134-35-0,2012.167
Clioquinol,130-26-7,1911.0
Dantron,117-10-2,1994.0
Phenolphthalein,77-09-8,1972.0
Rapacuronium,465499-11-0,1999.63
Maraviroc,376348-65-1,2007.597
Clofedanol,791-35-5,1963.0
Cyclandelate,456-59-7,1995.0
Cyproterone acetate,427-51-0,1988.0
Flunarizine,52468-60-7,1991.0
Fluspirilene,1841-19-6,1978.0
Mepenzolate,25990-43-6,1956.872
Tetrabenazine,58-46-8,1996.94
Ixabepilone,219989-84-1,2007.792
Roxadustat,808118-40-3,2021.764
Febuxostat,144060-53-7,2009.121
Dronedarone,141626-36-0,2009.499
Nebivolol,118457-14-0,2008.06
Omacetaxine mepesuccinate,26833-87-4,2012.885
Nilotinib,641571-10-0,2007.827
Lorcaserin,616202-92-7,2012.489
Vildagliptin,274901-16-5,2016.689
Bepotastine,125602-71-3,2009.688
Pegaptanib,222716-86-1,2004.962
Milnacipran,92623-85-3,2009.293
Nesiritide,124584-08-3,2001.584
Flibanserin,167933-07-5,2015.63
Oritavancin,171099-57-3,2014.668
Clevidipine,167221-71-8,2008.617
Permethrin,52645-53-1,1989.0
Afamelanotide,75921-69-6,2019.142
Defibrotide,83712-60-1,2016.246
Ospemifene,128607-22-7,2013.156
Crofelemer,148465-45-6,2013.0
Hemoglobin,9008-02-0,1952.0
Iloperidone,133454-47-4,2009.751
Lofexidine,31036-80-3,2018.463
Pirfenidone,53179-13-8,2013.022
Ezogabine,150812-12-7,2012.301
Ingenol mebutate,75567-37-2,2012.063
Belinostat,866323-14-0,2014.553
Ataluren,775304-57-9,2016.689
Migalastat,108147-54-2,2018.041
Arimoclomol,289893-25-0,2024.721
Indacaterol,312753-06-3,2011.499
Abaloparatide,247062-33-5,2017.332
Ganaxolone,38398-32-2,2022.43
Ancrod,9046-56-4,1987.0
Trabectedin,114899-77-3,2010.595
Pretomanid,187235-37-6,2019.852
Elafibranor,923978-27-2,2024.443
Crisaborole,906673-24-3,2017.082
Cobimetinib,934660-93-2,2015.86
Silver sulfadiazine,22199-08-2,1973.904
Methsuximide,77-41-8,1957.107
Glatiramer,28704-27-0,1997.786
Gallium nitrate,13494-90-1,2003.712
Rotigotine,99755-59-6,2012.254
Samarium (153Sm) lexidronam,122575-21-7,1997.381
Hepatitis B immune globulin,,1983.0
Vandetanib,443913-73-3,2011.304
Ecallantide,460738-38-9,2010.09
Pimavanserin,706779-91-1,2016.328
Romiplostim,267639-76-9,2008.65
Obiltoxaximab,1351337-07-9,2016.213
Dexlansoprazole,138530-94-6,2009.082
Histamine,51-45-6,1949.0
Iodine,7553-56-2,1952.0
Palovarotene,410528-02-8,2022.468
Mavorixafor,558447-26-0,2024.388
Telaprevir,402957-28-2,2011.392
Mipomersen,1000120-98-8,2013.079
Brivaracetam,357336-20-0,2016.336
Ramucirumab,947687-13-0,2014.304
Fibroblast growth factor-1,106096-92-8,2018.312
Levoketoconazole,142128-57-2,2021.997
Apremilast,608141-41-9,2014.23
Ustekinumab,815610-63-0,2009.014
Trastuzumab emtansine,1018448-65-1,2013.145
Abiraterone,154229-19-3,2011.323
Parathyroid hormone,9002-64-6,2015.063
Inotuzumab ozogamicin,635715-01-4,2017.63
Obeticholic acid,459789-99-2,2016.404
Eteplirsen,1173755-55-9,2016.719
Cariprazine,839712-12-8,2015.712
Olaratumab,1024603-93-7,2016.801
Trofinetide,853400-76-7,2023.0
Lumateperone,313368-91-1,2020.087
Caplacizumab,915810-67-2,2019.101
Tapinarof,79338-84-4,2022.4
Cenobamate,913088-80-9,2020.197
Tirbanibulin,897016-82-9,2020.954
Spiramycin,24916-50-5,1958.0
Sulfathiazole,72-14-0,1983.589
Acetylcysteine,616-91-1,1985.0
Nylidrin,447-41-6,1956.0
Pizotifen,15574-96-6,1975.003
Pentaerythritol tetranitrate,78-11-5,1962.0
Rimonabant,168273-06-1,2016.686
Canakinumab,914613-48-2,2009.463
Romidepsin,128517-07-7,2009.847
Ipilimumab,477202-00-9,2011.23
Pixantrone,144510-96-3,2016.689
Icatibant,130308-48-4,2011.649
Rufinamide,106308-44-5,2008.872
Lasofoxifene,180916-16-9,2016.686
Alogliptin,850649-61-5,2013.068
Tapentadol,175591-23-8,2009.416
Hyaluronidase (human recombinant),757971-58-7,2005.921
Sugammadex,343306-71-8,2015.956
Silodosin,160970-54-7,2009.225
Prasugrel,150322-43-3,2009.523
Eltrombopag,496775-61-2,2008.899
Doripenem,148016-81-3,2007.781
Tolvaptan,150683-30-0,2009.381
Regadenoson,313348-27-5,2008.276
Ferumoxytol,722492-56-0,2008.191
Asenapine,65576-45-6,2009.616
Vernakalant,794466-70-9,2018.063
Lacosamide,175481-36-4,2008.866
Dalbavancin,171500-79-1,2014.392
Rivaroxaban,366789-02-8,2008.71
Nalmefene,55096-26-9,2006.466
Maribavir,176161-24-3,2021.896
Avanafil,330784-47-9,2013.989
Eflornithine,70052-12-9,2000.585
Hexaminolevulinate,140898-97-1,2010.668
Droxidopa,23651-95-8,2014.134
Sitaxentan,184036-34-8,2007.466
Tocilizumab,375823-41-9,2010.022
Alvimopan,156053-89-3,2008.385
Levocetirizine,130018-77-8,2007.605
Ziconotide,107452-89-1,2004.992
Teriparatide,52232-67-4,2002.904
Temsirolimus,162635-04-3,2007.499
Amisulpride,71675-85-9,2020.158
Simeprevir,923604-59-5,2013.893
Dapagliflozin,461432-26-8,2008.038
Elotuzumab,915296-00-3,2015.915
Saxagliptin,361442-04-8,2009.581
Teprotumumab,1036734-93-6,2020.057
Pertuzumab,380610-27-5,2012.437
Rilonacept,501081-76-1,2008.158
Elacestrant,722533-56-4,2023.074
Bazedoxifene,198481-32-2,2013.756
Telavancin,372151-71-8,2009.847
